Camera,Lable
48MP 2160p,Positive
64MP 2160p,Positive
13MP 1080p,Neutral
13MP 2160p,Neutral
8MP 1080p,Positive
108MP 4320p,Positive
16MP 1080p,Neutral
0.2MP,Positive
16MP 2160p,Neutral
12MP 2160p,Neutral
0.3MP,Negative
2MP,Negative
5MP 720p,Negative
8MP 720p,Negative
2MP 240p,Negative
NO,Negative
0.3MP 240p,Positive
41MP 1080p,Positive
12MP 720p,Neutral
2MP Video recorder,Positive
2MP 144p,Positive
5MP 480p,Positive
0.1MP,Positive
3MP 144p,Positive
NO No video recorder,Positive
20MP 2160p,Positive
0.3MP No video recorder,Positive
64MP 1080p,Positive
48MP 1080p,Positive
12MP 1080p,Neutral
64MP 4320p,Positive
25MP 1080p,Positive
32MP 2160p,Positive
