Operating_System,Lable
"Android 10, Android One",Positive
"Android 10, planned upgrade to Android 11",Positive
"Android 9.0, up to Android 10, Android One",Positive
Android 10,Positive
"Android 7.1.1, up to Android 9.0",Neutral
Feature phone,Positive
"Android 8.1, up to Android 10, Android One",Positive
KaiOS,Positive
Android 9.0 Pie,Positive
"Android 7.0, up to Android 9.0",Positive
"Android 8.0, up to Android 9.0, Android One",Positive
"Android 9.0, Android One",Positive
"Microsoft Windows Phone 8, up to 8.1",Positive
"Symbian^3, up to Nokia Belle Refresh",Positive
"Android 8.0, up to Android 10, Android One",Positive
"Android 8.1 Oreo, up to 10.0, Android One",Positive
"Android 9.0 Pie, up to Android 10",Positive
Android 8.1 Oreo,Positive
"Android 7.1.1, up to Android 8.1",Neutral
"Symbian OS 9.1, S60 3rd edition",Positive
"Microsoft Windows Phone 8.1, up to Windows 10",Neutral
"Microsoft Windows Phone 8, up to Windows 10",Neutral
"Symbian^3, up to Nokia Belle OS",Positive
"Symbian OS 9.2, Series 60 v3.1 UI",Positive
"Android 10, Realme UI",Positive
"Android 10, realme UI 1.0",Positive
"Android 9.0, up to Android 10, Realme UI",Positive
"Android 9.0, ColorOS 6 Lite",Positive
"Android 9.0, planned upgrade to 10, ColorOS 6",Positive
"Android 10, ColorOS 7",Positive
"Android 8.1, up to Android 10, Realme UI 1.0",Neutral
"Android 8.1, ColorOS 5.2",Neutral
"Android 8.1, up to Android 9.0, ColorOS 6",Neutral
"Android 10, One UI 2.5",Positive
"Android 10, One UI 2.1",Positive
"Android 10, One UI 2.0",Positive
"Android 7.0, up to Android 9.0, One UI",Positive
"Android 9.0, up to Android 10, One UI 2.1",Positive
"Android 9.0, up to Android 10, One UI 2.5",Positive
"Android 10, One UI 2",Positive
"Android 9.0, up to Android 10, One UI 2",Positive
"Android 9.0, up to Android 10, One UI 2.0",Positive
"Android 6.0.1, up to Android 9.0, One UI",Negative
"Android 6.0, up to Android 8.0, TouchWiz UI",Negative
"Android 9.0, One UI",Positive
"Android 5.1, up to 6.0.1",Negative
"Android 8.1, up to Android 10, One UI 2.0",Neutral
"Android 8.0, up to Android 10, One UI 2.1",Neutral
"Android 5.1, up to 7.1.1",Negative
"Android 10, ColorOS 7.2",Positive
"Android 10, ColorOS 7.1",Positive
"Android 9.0, ColorOS 6.1",Positive
"Android 5.1, ColorOS 3",Negative
"Android 5.1, up to 6.0, ColorOS 3",Negative
"Android 8.1, ColorOS 5.1",Neutral
"Android 9.0, planned upgrade to 10",Positive
"Android 8.1, up to Android 10, ColorOS 7.0",Neutral
"Android 9.0, ColorOS 6",Positive
Android Wear OS - International,Positive
"Android 8.1, ColorOS 5",Positive
"Android 7.1.1, ColorOS 3.2",Neutral
"Android 5.1, ColorOS 2.1",Negative
"Android 6, ColorOS 3",Positive
"Android 9.0, up to Android 10, ColorOS 7.0",Positive
"Android 7.1, ColorOS 3.2",Neutral
