Storage,Lable
"64GB/128GB storage, microSDXC",Positive
"32GB/64GB storage, microSDXC",Neutral
"64GB storage, microSDXC",Positive
"128GB/256GB storage, no card slot",Positive
"16GB/32GB storage, microSDXC",Negative
"32GB storage, microSDXC",Negative
"16MB 8MB RAM storage, microSDHC slot",Negative
"32GB/64GB/128GB storage, microSDXC",Positive
"128GB storage, no card slot",Positive
"4MB storage, microSD slot",Negative
"4GB 512MB storage, microSDHC slot",Negative
"16GB storage, microSDXC",Negative
"24MB 16MB RAM storage, microSDHC slot",Negative
"4MB 4MB RAM storage, no card slot",Negative
"16MB RAM storage, microSDHC slot",Negative
"4MB storage, no card slot",Negative
"32GB/64GB storage, no card slot",Neutral
"16GB storage, microSDHC",Negative
"4GB 512MB RAM storage, microSDHC slot",Negative
"8GB storage, microSDXC",Negative
"8GB/16GB storage, microSDXC",Negative
"30MB storage, microSDHC slot",Negative
"16MB storage, microSDHC slot",Negative
"4MB storage, microSDHC slot",Negative
"512MB 256MB RAM storage, microSDXC slot",Negative
"42MB 64MB RAM storage, miniSD slot",Negative
"8MB 384 kB storage, no card slot",Negative
"32GB storage, no card slot",Negative
microSDHC slot,Negative
No card slot,Negative
"16GB storage, no card slot",Negative
"120MB storage, microSDHC slot",Negative
"128GB storage, microSDXC",Positive
"64GB/128GB/256GB storage, no card slot",Positive
"64GB/128GB/256GB storage, microSDXC",Positive
"64GB/128GB storage, Unspecified",Positive
"128GB/256GB storage, microSDXC",Positive
"128GB/256GB/512GB storage, microSDXC",Positive
"128GB/512GB storage, microSDXC",Positive
"256GB/512GB storage, microSDXC",Positive
"128GB/512GB/1TB storage, microSDXC",Positive
"256GB/512GB storage, no card slot",Positive
"256GB storage, no card slot",Positive
"16GB/32GB/64GB storage, microSDXC",Neutral
"256GB/128GB storage, microSDXC",Positive
"8GB storage, no card slot",Negative
