Mobile_Name,Operating_System,Storage,Display,Camera
Realme 7 Pro,"Android 10, Realme UI","128GB storage, microSDXC","6.4"" 1080x2400 pixels",64MP 2160p
Realme Narzo 20 Pro,"Android 10, Realme UI","64GB/128GB storage, microSDXC","6.5"" 1080x2400 pixels",48MP 2160p
Realme C17,Android 10,"128GB storage, microSDXC","6.5"" 720x1600 pixels",13MP 1080p
Realme 7,"Android 10, Realme UI","64GB/128GB storage, microSDXC","6.5"" 1080x2400 pixels",64MP 2160p
Realme 6 Pro,"Android 10, Realme UI","64GB/128GB storage, microSDXC","6.6"" 1080x2400 pixels",64MP 1080p
Realme 7i,"Android 10, Realme UI","128GB storage, microSDXC","6.5"" 720x1600 pixels",64MP 2160p
Realme Narzo 20,"Android 10, Realme UI","64GB/128GB storage, microSDXC","6.5"" 720x1600 pixels",48MP 1080p
Realme 6,"Android 10, Realme UI","64GB/128GB storage, microSDXC","6.5"" 1080x2400 pixels",64MP 2160p
Realme C15,"Android 10, realme UI 1.0","32GB/64GB storage, microSDXC","6.5"" 720x1560 pixels",13MP 1080p
Realme X7 Pro,"Android 10, Realme UI","128GB/256GB storage, no card slot","6.55"" 1080x2400 pixels",64MP 2160p
Realme 5i,"Android 9.0, up to Android 10, Realme UI","32GB/64GB storage, microSDXC","6.52"" 720x1600 pixels",12MP 2160p
Realme C11,"Android 10, realme UI 1.0","32GB storage, microSDXC","6.5"" 720x1560 pixels",13MP 1080p
Realme 6i,"Android 10, Realme UI 1.0","64GB/128GB storage, microSDXC","6.5"" 720x1600 pixels",48MP 1080p
Realme Narzo 20A,"Android 10, Realme UI","32GB/64GB storage, microSDXC","6.5"" 720x1600 pixels",12MP 1080p
Realme C3,"Android 10, realme UI 1.0","32GB/64GB storage, microSDXC","6.5"" 720x1560 pixels",12MP 1080p
Realme 5 Pro,"Android 9.0, up to Android 10, Realme UI","64GB/128GB storage, microSDXC","6.3"" 1080x2340 pixels",48MP 2160p
Realme X2 Pro,"Android 9.0, up to Android 10, realme UI","64GB/128GB/256GB storage, no card slot","6.5"" 1080x2400 pixels",64MP 2160p
Realme C12,"Android 10, realme UI 1.0","32GB storage, microSDXC","6.5"" 720x1560 pixels",13MP 1080p
Realme 5,"Android 9.0, up to Android 10, Realme UI","32GB/64GB/128GB storage, microSDXC","6.5"" 720x1600 pixels",12MP 2160p
Realme X3 SuperZoom,"Android 10, Realme UI","128GB/256GB storage, no card slot","6.6"" 1080x2400 pixels",64MP 2160p
Realme X50 Pro 5G,"Android 10, realme UI 1.0","128GB/256GB storage, no card slot","6.44"" 1080x2400 pixels",64MP 2160p
Realme X7,"Android 10, Realme UI","128GB storage, no card slot","6.4"" 1080x2400 pixels",64MP 2160p
Realme X3,"Android 10, Realme UI","128GB storage, no card slot","6.6"" 1080x2400 pixels",64MP 2160p
Realme X2,"Android 9.0, up to Android 10, realme UI","64GB/128GB/256GB storage, microSDXC","6.4"" 1080x2340 pixels",64MP 2160p
Realme X50 5G,"Android 10, Realme UI 1.0","128GB storage, no card slot","6.57"" 1080x2400 pixels",48MP 2160p
Realme XT,"Android 9.0, up to Android 10, Realme UI","64GB/128GB storage, microSDXC","6.4"" 1080x2340 pixels",64MP 2160p
Realme C3 (3 cameras),"Android 10, realme UI 1.0","32GB/64GB storage, microSDXC","6.5"" 720x1600 pixels",12MP 1080p
Realme C2,"Android 9.0, ColorOS 6 Lite","16GB/32GB storage, microSDXC","6.1"" 720x1560 pixels",13MP 1080p
Realme V5 5G,"Android 10, Realme UI 1.0","128GB storage, microSDXC","6.5"" 1080x2400 pixels",48MP 2160p
Realme 3 Pro,"Android 9.0, planned upgrade to 10, ColorOS 6","64GB/128GB storage, microSDXC","6.3"" 1080x2340 pixels",16MP 2160p
Realme Narzo,"Android 10, Realme UI","128GB storage, microSDXC","6.5"" 1080x2400 pixels",48MP 2160p
Realme Narzo 10,"Android 10, Realme UI 1.0","128GB storage, microSDXC","6.5"" 720x1600 pixels",48MP 1080p
Realme 3,"Android 9.0, up to Android 10, Realme UI","32GB/64GB storage, microSDXC","6.22"" 720x1520 pixels",13MP 1080p
Realme V3,"Android 10, realme UI","64GB/128GB storage, Unspecified","6.5"" 720x1600 pixels",13MP 1080p
Realme 6i (India),"Android 10, Realme UI","64GB storage, microSDXC","6.5"" 1080x2400 pixels",48MP 2160p
Realme X,"Android 9.0, up to Android 10, Realme UI","64GB/128GB/256GB storage, no card slot","6.53"" 1080x2340 pixels",48MP 2160p
Realme 5s,"Android 9.0, up to Android 10, Realme UI","64GB/128GB storage, microSDXC","6.5"" 720x1600 pixels",48MP 2160p
Realme 6S,"Android 10, Realme UI","64GB/128GB storage, microSDXC","6.5"" 1080x2400 pixels",48MP 2160p
Realme X50 Pro Player,"Android 10, realme UI 1.0","128GB storage, no card slot","6.44"" 1080x2400 pixels",48MP 2160p
Realme Narzo 10A,"Android 10, realme UI 1.0","32GB/64GB storage, microSDXC","6.5"" 720x1600 pixels",12MP 1080p
Realme X50 5G (China),"Android 10, ColorOS 7","64GB/128GB/256GB storage, no card slot","6.57"" 1080x2400 pixels",64MP 2160p
Realme 2 Pro,"Android 8.1, up to Android 10, Realme UI 1.0","64GB/128GB storage, microSDXC","6.3"" 1080x2340 pixels",16MP 2160p
Realme C1,"Android 8.1, ColorOS 5.2","16GB storage, microSDXC","6.2"" 720x1520 pixels",13MP 1080p
Realme X50m 5G,"Android 10, Realme UI","128GB storage, no card slot","6.57"" 1080x2400 pixels",48MP 2160p
Realme 2,"Android 8.1, up to Android 9.0, ColorOS 6","32GB/64GB storage, microSDXC","6.2"" 720x1520 pixels",13MP 1080p
Realme C3i,"Android 10, realme UI 1.0","32GB storage, microSDXC","6.5"" 720x1600 pixels",12MP 1080p
Realme Watch,Feature phone,No card slot,"1.4"" 320x320 pixels",NO
Realme 1,"Android 8.1, up to Android 9.0, ColorOS 6","32GB/64GB/128GB storage, microSDXC","6.0"" 1080x2160 pixels",13MP 1080p
Realme 3i,"Android 9.0, up to Android 10, Realme UI","32GB/64GB storage, microSDXC","6.2"" 720x1520 pixels",13MP 1080p
Realme U1,"Android 8.1, up to Android 9.0, ColorOS 6","32GB/64GB storage, microSDXC","6.3"" 1080x2340 pixels",13MP 1080p
